Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_VIXD,CBOE S&P 500 Volatility Index (VIX),Stocks - Technical Indicators,Non Currency Series,United States,,,,,,,Index Number ,Units,Stock,none,Daily From Jan 1986 To Apr 2022<BR>,,
Date,Ticker,Open,High,Low,Close
12/15/1997,_VIXD,,,,27.44
12/16/1997,_VIXD,,,,26.26
12/17/1997,_VIXD,,,,27.01
12/18/1997,_VIXD,,,,28.04
12/19/1997,_VIXD,,,,29.1
12/22/1997,_VIXD,,,,28.72
12/23/1997,_VIXD,,,,30.47
12/24/1997,_VIXD,,,,31.11
12/26/1997,_VIXD,,,,31.24
12/29/1997,_VIXD,,,,27.24
12/30/1997,_VIXD,,,,24.93
12/31/1997,_VIXD,,,,24.89
01/02/1998,_VIXD,,,,24.14
01/05/1998,_VIXD,,,,24.29
01/06/1998,_VIXD,,,,25.63
01/07/1998,_VIXD,,,,26.24
01/08/1998,_VIXD,,,,26.21
01/09/1998,_VIXD,,,,34.46
01/12/1998,_VIXD,,,,29.64
01/13/1998,_VIXD,,,,25.93
01/14/1998,_VIXD,,,,24.21
01/15/1998,_VIXD,,,,24.56
01/16/1998,_VIXD,,,,22.23
01/20/1998,_VIXD,,,,21.69
01/21/1998,_VIXD,,,,22.09
01/22/1998,_VIXD,,,,23.1
01/23/1998,_VIXD,,,,23.52
01/26/1998,_VIXD,,,,23.24
01/27/1998,_VIXD,,,,22.22
01/28/1998,_VIXD,,,,21.9
01/29/1998,_VIXD,,,,21.55
01/30/1998,_VIXD,,,,21.7
02/02/1998,_VIXD,,,,21.4
02/03/1998,_VIXD,,,,21.06
02/04/1998,_VIXD,,,,21.03
02/05/1998,_VIXD,,,,22.04
02/06/1998,_VIXD,,,,21.13
02/09/1998,_VIXD,,,,21.36
02/10/1998,_VIXD,,,,20.91
02/11/1998,_VIXD,,,,20.64
02/12/1998,_VIXD,,,,20.04
02/13/1998,_VIXD,,,,19.92
02/17/1998,_VIXD,,,,21.2
02/18/1998,_VIXD,,,,20.1
02/19/1998,_VIXD,,,,20.39
02/20/1998,_VIXD,,,,19.55
02/23/1998,_VIXD,,,,19.12
02/24/1998,_VIXD,,,,19.98
02/25/1998,_VIXD,,,,18.86
02/26/1998,_VIXD,,,,19.18
02/27/1998,_VIXD,,,,19.43
03/02/1998,_VIXD,,,,19.55
03/03/1998,_VIXD,,,,19.47
03/04/1998,_VIXD,,,,19.84
03/05/1998,_VIXD,,,,22.13
03/06/1998,_VIXD,,,,19.75
03/09/1998,_VIXD,,,,20.26
03/10/1998,_VIXD,,,,19.6
03/11/1998,_VIXD,,,,19.02
03/12/1998,_VIXD,,,,18.15
03/13/1998,_VIXD,,,,19.13
03/16/1998,_VIXD,,,,18.97
03/17/1998,_VIXD,,,,19.08
03/18/1998,_VIXD,,,,18.57
03/19/1998,_VIXD,,,,18.28
03/20/1998,_VIXD,,,,19.37
03/23/1998,_VIXD,,,,20.49
03/24/1998,_VIXD,,,,21
03/25/1998,_VIXD,,,,23.08
03/26/1998,_VIXD,,,,23.02
03/27/1998,_VIXD,,,,24.4
03/30/1998,_VIXD,,,,24.54
03/31/1998,_VIXD,,,,24.25
04/01/1998,_VIXD,,,,23.22
04/02/1998,_VIXD,,,,22.43
04/03/1998,_VIXD,,,,22.26
04/06/1998,_VIXD,,,,22.41
04/07/1998,_VIXD,,,,23.71
04/08/1998,_VIXD,,,,23.66
04/09/1998,_VIXD,,,,21.96
04/13/1998,_VIXD,,,,23.38
04/14/1998,_VIXD,,,,22.63
04/15/1998,_VIXD,,,,21.42
04/16/1998,_VIXD,,,,23.46
04/17/1998,_VIXD,,,,21.44
04/20/1998,_VIXD,,,,20.86
04/21/1998,_VIXD,,,,20.03
04/22/1998,_VIXD,,,,19.8
04/23/1998,_VIXD,,,,21.54
04/24/1998,_VIXD,,,,23.07
04/27/1998,_VIXD,,,,26.45
04/28/1998,_VIXD,,,,24.74
04/29/1998,_VIXD,,,,23.24
04/30/1998,_VIXD,,,,21.59
05/01/1998,_VIXD,,,,19.97
05/04/1998,_VIXD,,,,20.16
05/05/1998,_VIXD,,,,21.44
05/06/1998,_VIXD,,,,23.02
05/07/1998,_VIXD,,,,23.84
05/08/1998,_VIXD,,,,21.2
05/11/1998,_VIXD,,,,22.55
05/12/1998,_VIXD,,,,21.16
05/13/1998,_VIXD,,,,21.1
05/14/1998,_VIXD,,,,20.66
05/15/1998,_VIXD,,,,21.35
05/18/1998,_VIXD,,,,21.44
05/19/1998,_VIXD,,,,20.3
05/20/1998,_VIXD,,,,20.57
05/21/1998,_VIXD,,,,19.92
05/22/1998,_VIXD,,,,20.19
05/26/1998,_VIXD,,,,22.69
05/27/1998,_VIXD,,,,23.04
05/28/1998,_VIXD,,,,21.48
05/29/1998,_VIXD,,,,22.89
06/01/1998,_VIXD,,,,23.52
06/02/1998,_VIXD,,,,22.61
06/03/1998,_VIXD,,,,23.83
06/04/1998,_VIXD,,,,22.4
06/05/1998,_VIXD,,,,20.31
06/08/1998,_VIXD,,,,21.25
06/09/1998,_VIXD,,,,20.77
06/10/1998,_VIXD,,,,22.02
06/11/1998,_VIXD,,,,22.02
06/12/1998,_VIXD,,,,23.49
06/15/1998,_VIXD,,,,26.93
06/16/1998,_VIXD,,,,25.16
06/17/1998,_VIXD,,,,23.23
06/18/1998,_VIXD,,,,22.86
06/19/1998,_VIXD,,,,22.19
06/22/1998,_VIXD,,,,21.67
06/23/1998,_VIXD,,,,19.79
06/24/1998,_VIXD,,,,20.24
06/25/1998,_VIXD,,,,20.67
06/26/1998,_VIXD,,,,19.79
06/29/1998,_VIXD,,,,19.31
06/30/1998,_VIXD,,,,19.86
07/01/1998,_VIXD,,,,18.05
07/02/1998,_VIXD,,,,18.08
07/06/1998,_VIXD,,,,18.3
07/07/1998,_VIXD,,,,18.57
07/08/1998,_VIXD,,,,17.88
07/09/1998,_VIXD,,,,18.57
07/10/1998,_VIXD,,,,17.79
07/13/1998,_VIXD,,,,18.99
07/14/1998,_VIXD,,,,18.25
07/15/1998,_VIXD,,,,18.69
07/16/1998,_VIXD,,,,17.21
07/17/1998,_VIXD,,,,16.88
07/20/1998,_VIXD,,,,17.62
07/21/1998,_VIXD,,,,20.22
07/22/1998,_VIXD,,,,20.43
07/23/1998,_VIXD,,,,24.84
07/24/1998,_VIXD,,,,23.13
07/27/1998,_VIXD,,,,22.94
07/28/1998,_VIXD,,,,24.66
07/29/1998,_VIXD,,,,25.6
07/30/1998,_VIXD,,,,22.57
07/31/1998,_VIXD,,,,26.27
08/03/1998,_VIXD,,,,26.25
08/04/1998,_VIXD,,,,33.1
08/05/1998,_VIXD,,,,30.26
08/06/1998,_VIXD,,,,28.32
08/07/1998,_VIXD,,,,27.09
08/10/1998,_VIXD,,,,28.36
08/11/1998,_VIXD,,,,30.88
08/12/1998,_VIXD,,,,27.71
08/13/1998,_VIXD,,,,29.66
08/14/1998,_VIXD,,,,32.68
08/17/1998,_VIXD,,,,31.08
08/18/1998,_VIXD,,,,28.79
08/19/1998,_VIXD,,,,27.71
08/20/1998,_VIXD,,,,29.19
08/21/1998,_VIXD,,,,31.91
08/24/1998,_VIXD,,,,30.27
08/25/1998,_VIXD,,,,28.9
08/26/1998,_VIXD,,,,30.66
08/27/1998,_VIXD,,,,39.16
08/28/1998,_VIXD,,,,40.95
08/31/1998,_VIXD,,,,48.33
09/01/1998,_VIXD,,,,39.85
09/02/1998,_VIXD,,,,40.42
09/03/1998,_VIXD,,,,43.93
09/04/1998,_VIXD,,,,44.61
09/08/1998,_VIXD,,,,37.05
09/09/1998,_VIXD,,,,39.08
09/10/1998,_VIXD,,,,47.52
09/11/1998,_VIXD,,,,44.09
09/14/1998,_VIXD,,,,38.36
09/15/1998,_VIXD,,,,37.07
09/16/1998,_VIXD,,,,36.18
09/17/1998,_VIXD,,,,42.33
09/18/1998,_VIXD,,,,40.49
09/21/1998,_VIXD,,,,39.64
09/22/1998,_VIXD,,,,37.47
09/23/1998,_VIXD,,,,31.53
09/24/1998,_VIXD,,,,35.74
09/25/1998,_VIXD,,,,35.6
09/28/1998,_VIXD,,,,35.19
09/29/1998,_VIXD,,,,36.1
09/30/1998,_VIXD,,,,41.94
10/01/1998,_VIXD,,,,46.45
10/02/1998,_VIXD,,,,42.36
10/05/1998,_VIXD,,,,44.44
10/06/1998,_VIXD,,,,43.91
10/07/1998,_VIXD,,,,48.27
10/08/1998,_VIXD,,,,48.56
10/09/1998,_VIXD,,,,45.69
10/12/1998,_VIXD,,,,43.41
10/13/1998,_VIXD,,,,43.11
10/14/1998,_VIXD,,,,41.31
10/15/1998,_VIXD,,,,35.95
10/16/1998,_VIXD,,,,35.84
10/19/1998,_VIXD,,,,31.46
10/20/1998,_VIXD,,,,32.8
10/21/1998,_VIXD,,,,31.71
10/22/1998,_VIXD,,,,30.76
10/23/1998,_VIXD,,,,30.67
10/26/1998,_VIXD,,,,30.32
10/27/1998,_VIXD,,,,31.49
10/28/1998,_VIXD,,,,31.08
10/29/1998,_VIXD,,,,27.84
10/30/1998,_VIXD,,,,26.56
11/02/1998,_VIXD,,,,25.02
11/03/1998,_VIXD,,,,26.37
11/04/1998,_VIXD,,,,25.88
11/05/1998,_VIXD,,,,24.8
11/06/1998,_VIXD,,,,24.62
11/09/1998,_VIXD,,,,25.88
11/10/1998,_VIXD,,,,25.92
11/11/1998,_VIXD,,,,27.54
11/12/1998,_VIXD,,,,28.37
11/13/1998,_VIXD,,,,28.19
11/16/1998,_VIXD,,,,28.45
11/17/1998,_VIXD,,,,27.94
11/18/1998,_VIXD,,,,25.11
11/19/1998,_VIXD,,,,24
11/20/1998,_VIXD,,,,21.22
11/23/1998,_VIXD,,,,20.74
11/24/1998,_VIXD,,,,22.43
11/25/1998,_VIXD,,,,21.7
11/27/1998,_VIXD,,,,21.58
11/30/1998,_VIXD,,,,25
12/01/1998,_VIXD,,,,23.96
12/02/1998,_VIXD,,,,25.22
12/03/1998,_VIXD,,,,29.74
12/04/1998,_VIXD,,,,24.95
12/07/1998,_VIXD,,,,23.83
12/08/1998,_VIXD,,,,24.82
12/09/1998,_VIXD,,,,25.43
12/10/1998,_VIXD,,,,27.76
12/11/1998,_VIXD,,,,28.46
12/14/1998,_VIXD,,,,32.47
12/15/1998,_VIXD,,,,29.7
12/16/1998,_VIXD,,,,30.53
12/17/1998,_VIXD,,,,28.07
12/18/1998,_VIXD,,,,24.66
12/21/1998,_VIXD,,,,23.22
12/22/1998,_VIXD,,,,22.35
12/23/1998,_VIXD,,,,19.34
12/24/1998,_VIXD,,,,22.04
12/28/1998,_VIXD,,,,22.81
12/29/1998,_VIXD,,,,21.93
12/30/1998,_VIXD,,,,23.79
12/31/1998,_VIXD,,,,25.41
01/04/1999,_VIXD,,,,25.7
01/05/1999,_VIXD,,,,23.53
01/06/1999,_VIXD,,,,23.6
01/07/1999,_VIXD,,,,24.15
01/08/1999,_VIXD,,,,23.88
01/11/1999,_VIXD,,,,26.38
01/12/1999,_VIXD,,,,29.68
01/13/1999,_VIXD,,,,31.26
01/14/1999,_VIXD,,,,34.74
01/15/1999,_VIXD,,,,29.75
